Month,Day,Hour,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (W/m2),Cell Temperature (C),AC System Output (kW)
1,1,0,0,0,7.6,1.2,0.2,0,7.6,0
1,1,1,0,0,7.5,1.2,0.2,0,7.5,0
1,1,2,0,0,7.6,1.2,0.2,0,7.6,0
1,1,3,0,0,7.7,1.2,0.2,0,7.7,0
1,1,4,0,0,7.8,1.2,0.2,0,7.8,0
1,1,5,0,0,11.8,1.3,0.2,0,11.8,0
1,1,6,0,0,12.5,1.2,0.2,0,0,0
1,1,7,126,53,15.3,1.2,0.2,105.167,18.787,114.44618
1,1,8,340,129,18.9,1.9,0.2,323.77,28.28,394.762984
1,1,9,477,175,21.3,2.7,0.2,530.655,34.476,637.668229
1,1,10,612,179,22.8,3.1,0.2,696.659,38.93,821.42697
1,1,11,751,144,23.7,3.2,0.2,813.05,42.212,945.411541
1,1,12,725,151,23.9,3,0.2,792.84,42.56,920.716497
1,1,13,660,153,23.7,2.8,0.2,692.882,40.592,813.5223
1,1,14,539,143,22.9,2.3,0.2,515.586,36.693,616.100964
1,1,15,274,107,20.7,1.5,0.2,251.654,28.627,299.899177
1,1,16,10,28,18.2,1,0.2,31.779,19.285,26.260319
1,1,17,0,0,17.2,1,0.2,0,17.2,0
1,1,18,0,0,17,0.8,0.2,0,17,0
1,1,19,0,0,16.8,0.5,0.2,0,16.8,0
1,1,20,0,0,16.3,0.5,0.2,0,16.3,0
1,1,21,0,0,15.4,0.8,0.2,0,15.4,0
1,1,22,0,0,14.3,1,0.2,0,14.3,0
1,1,23,0,0,13.4,1.1,0.2,0,13.4,0
1,2,0,0,0,12.8,1.1,0.2,0,12.8,0
1,2,1,0,0,12.6,1.1,0.2,0,12.6,0
1,2,2,0,0,12.4,1.1,0.2,0,12.4,0
1,2,3,0,0,12.3,1.2,0.2,0,12.3,0
1,2,4,0,0,12.1,1.2,0.2,0,12.1,0
1,2,5,0,0,12,1.2,0.2,0,12,0
1,2,6,0,0,12.7,1.1,0.2,0,0,0
1,2,7,85,48,15,1.3,0.2,81.363,17.636,86.994
1,2,8,265,147,18.1,1.5,0.2,306.35,27.768,372.447165
1,2,9,394,201,20.7,1.2,0.2,495.579,37.453,586.321313
1,2,10,531,210,22.3,1,0.2,667.49,45.978,762.898628
1,2,11,673,176,23.2,0.8,0.2,783.051,52.455,871.082193
1,2,12,680,171,23.5,0.5,0.2,777.982,55.105,856.137918
1,2,13,659,155,23.5,0.7,0.2,695.267,50.225,784.125021
1,2,14,609,125,22.9,1.1,0.2,544.261,41.789,638.446765
1,2,15,459,93,20.7,1.1,0.2,328.427,32.075,391.496103
1,2,16,163,35,17.7,1,0.2,92.671,20.804,86.10363
1,2,17,0,0,16.1,1.1,0.2,0,0,0
1,2,18,0,0,15.4,1.1,0.2,0,15.4,0
1,2,19,0,0,14.7,1,0.2,0,14.7,0
1,2,20,0,0,14.1,1.1,0.2,0,14.1,0
1,2,21,0,0,13.5,1.2,0.2,0,13.5,0
1,2,22,0,0,13.1,1.2,0.2,0,13.1,0
1,2,23,0,0,12.9,1.2,0.2,0,12.9,0
1,3,0,0,0,12.7,1.1,0.2,0,12.7,0
1,3,1,0,0,12.5,1.1,0.2,0,12.5,0
1,3,2,0,0,12.2,1.1,0.2,0,12.2,0
1,3,3,0,0,11.9,1.1,0.2,0,11.9,0
1,3,4,0,0,11.7,1.1,0.2,0,11.7,0
1,3,5,0,0,11.3,1.2,0.2,0,11.3,0
1,3,6,0,0,12.1,1.1,0.2,0,0,0
1,3,7,280,52,14.9,1.4,0.2,155.991,19.808,171.322876
1,3,8,552,96,18.4,1.5,0.2,402.928,31.137,491.5009
1,3,9,688,119,21.4,1.2,0.2,614.039,42.19,719.879485
1,3,10,753,132,23.6,1.8,0.2,759.759,46.028,872.620354
1,3,11,781,137,24.6,2.4,0.2,831.215,46.362,950.392083
1,3,12,781,135,25,2.7,0.2,823.074,45.405,945.286848
1,3,13,515,178,24.8,2.9,0.2,607.887,39.357,714.484685
1,3,14,277,170,24,2.9,0.2,371.714,32.91,444.240839
1,3,15,155,107,21.3,2,0.2,190.859,26.703,225.611695
1,3,16,12,33,17.9,1.2,0.2,38.841,19.166,34.135943
1,3,17,0,0,16.5,1.1,0.2,0,0,0
1,3,18,0,0,16.3,1,0.2,0,16.3,0
1,3,19,0,0,16,0.8,0.2,0,16,0
1,3,20,0,0,15.5,0.8,0.2,0,15.5,0
1,3,21,0,0,15,0.9,0.2,0,15,0
1,3,22,0,0,14.5,0.9,0.2,0,14.5,0
1,3,23,0,0,14,0.9,0.2,0,14,0
1,4,0,0,0,13.6,0.9,0.2,0,13.6,0
1,4,1,0,0,13.3,1,0.2,0,13.3,0
1,4,2,0,0,13.2,0.9,0.2,0,13.2,0
1,4,3,0,0,13.1,0.9,0.2,0,13.1,0
1,4,4,0,0,12.9,0.8,0.2,0,12.9,0
1,4,5,0,0,13,0.8,0.2,0,13,0
1,4,6,0,0,13.4,0.8,0.2,0,0,0
1,4,7,217,54,15.5,0.7,0.2,138.503,20.704,151.088265
1,4,8,470,110,18.6,0.8,0.2,374.226,32.637,451.836542
1,4,9,604,143,21.4,1.5,0.2,579.88,39.7,685.153784
1,4,10,661,165,23.4,2.2,0.2,723.551,43.088,839.562567
1,4,11,665,184,24.3,2.4,0.2,785.692,44.858,902.006171
1,4,12,654,186,24.7,2.6,0.2,773.748,44.216,890.840401
1,4,13,612,176,24.5,2.5,0.2,680.785,42.006,793.467319
1,4,14,528,151,23.7,2.2,0.2,520.424,37.89,618.483173
1,4,15,364,109,21.1,1.5,0.2,303.565,30.667,362.774028
1,4,16,105,35,18.1,1.1,0.2,73.155,20.518,68.792499
1,4,17,0,0,17,1.2,0.2,0,0,0
1,4,18,0,0,16.7,1,0.2,0,16.7,0
1,4,19,0,0,16.3,1,0.2,0,16.3,0
1,4,20,0,0,15.6,1,0.2,0,15.6,0
1,4,21,0,0,14.8,1.1,0.2,0,14.8,0
1,4,22,0,0,14.2,1.2,0.2,0,14.2,0
1,4,23,0,0,13.7,1.2,0.2,0,13.7,0
1,5,0,0,0,13.4,1.3,0.2,0,13.4,0
1,5,1,0,0,13,1.3,0.2,0,13,0
1,5,2,0,0,12.7,1.3,0.2,0,12.7,0
1,5,3,0,0,12.3,1.3,0.2,0,12.3,0
1,5,4,0,0,12.1,1.3,0.2,0,12.1,0
1,5,5,0,0,11.8,1.2,0.2,0,11.8,0
1,5,6,0,0,12.4,1.1,0.2,0,0,0
1,5,7,150,54,15,1.1,0.2,113.23,18.84,123.229184
1,5,8,367,129,18.5,1.2,0.2,336.248,29.888,407.935392
1,5,9,502,171,21.4,1.9,0.2,542.215,37.089,645.273407
1,5,10,551,204,23.3,2.8,0.2,676.779,39.782,793.808778
1,5,11,536,233,24.3,3.3,0.2,728.272,40.597,848.36019
1,5,12,562,221,24.9,3.7,0.2,733.185,40.322,855.886938
1,5,13,551,196,24.9,3.8,0.2,657.205,38.536,775.523747
1,5,14,504,160,24.3,3.4,0.2,515.932,35.703,618.012399
1,5,15,373,111,21.5,2.2,0.2,310.738,29.961,373.009544
1,5,16,121,37,17.9,1.4,0.2,80.02,20.368,76.745961
1,5,17,0,0,16,1.3,0.2,0,0,0
1,5,18,0,0,15.3,1.3,0.2,0,15.3,0
1,5,19,0,0,14.7,1.2,0.2,0,14.7,0
1,5,20,0,0,14.2,1.1,0.2,0,14.2,0
1,5,21,0,0,14,1.1,0.2,0,14,0
1,5,22,0,0,14,1.1,0.2,0,14,0
1,5,23,0,0,13.9,1.2,0.2,0,13.9,0
1,6,0,0,0,13.5,1.3,0.2,0,13.5,0
1,6,1,0,0,13,1.3,0.2,0,13,0
1,6,2,0,0,12.3,1.3,0.2,0,12.3,0
1,6,3,0,0,11.7,1.3,0.2,0,11.7,0
1,6,4,0,0,11.4,1.3,0.2,0,11.4,0
1,6,5,0,0,10.9,1.4,0.2,0,10.9,0
1,6,6,0,0,11.8,1.3,0.2,0,0,0
1,6,7,121,54,15,1.9,0.2,104.164,17.952,113.43331
1,6,8,326,136,19,2.6,0.2,323.338,27.181,395.478058
1,6,9,455,187,21.9,2.9,0.2,527.857,34.555,633.511006
1,6,10,504,223,23.7,3.4,0.2,660.74,38.264,778.674756
1,6,11,484,257,24.5,3.7,0.2,710.962,39.446,830.826078
1,6,12,466,262,24.7,4,0.2,698.177,38.742,818.062562
1,6,13,415,246,24.4,4,0.2,600.034,36.48,710.793433
1,6,14,324,205,23.5,3.5,0.2,443.886,33.147,532.738076
1,6,15,195,133,20.7,2.3,0.2,241.757,27.154,289.455025
1,6,16,40,29,17.6,1.5,0.2,43.752,18.932,39.765743
1,6,17,0,0,16.3,1.4,0.2,0,0,0
1,6,18,0,0,15.8,1.4,0.2,0,15.8,0
1,6,19,0,0,15.3,1.4,0.2,0,15.3,0
1,6,20,0,0,14.9,1.4,0.2,0,14.9,0
1,6,21,0,0,14.6,1.3,0.2,0,14.6,0
1,6,22,0,0,14.2,1.2,0.2,0,14.2,0
1,6,23,0,0,13.8,1.1,0.2,0,13.8,0
1,7,0,0,0,13.4,1.2,0.2,0,13.4,0
1,7,1,0,0,12.9,1.4,0.2,0,12.9,0
1,7,2,0,0,12.4,1.9,0.2,0,12.4,0
1,7,3,0,0,11.9,2.5,0.2,0,11.9,0
1,7,4,0,0,11.6,2.9,0.2,0,11.6,0
1,7,5,0,0,11.2,3.5,0.2,0,11.2,0
1,7,6,0,0,11.3,3.7,0.2,0,0,0
1,7,7,32,43,12,3.7,0.2,54.514,13.131,57.126973
1,7,8,98,129,13,3.8,0.2,192.359,16.994,237.341213
1,7,9,157,205,13.8,4.1,0.2,331.113,20.373,411.394414
1,7,10,196,260,14.5,4.4,0.2,440.382,22.869,543.227634
1,7,11,216,295,15,4.6,0.2,507.603,24.382,622.513957
1,7,12,219,299,15.2,4.3,0.2,513.757,25.09,628.704393
1,7,13,205,298,15,3.8,0.2,489.466,25.131,600.336769
1,7,14,158,257,14.5,3,0.2,391.244,23.704,482.675677
1,7,15,83,143,13.6,2.3,0.2,195.633,18.819,238.935386
1,7,16,12,24,12.8,2,0.2,26.804,13.539,22.80546
1,7,17,0,0,12.2,2,0.2,0,0,0
1,7,18,0,0,11.5,1.8,0.2,0,11.5,0
1,7,19,0,0,10.7,1.6,0.2,0,10.7,0
1,7,20,0,0,10,1.4,0.2,0,10,0
1,7,21,0,0,9.5,1.3,0.2,0,9.5,0
1,7,22,0,0,9.2,1.3,0.2,0,9.2,0
1,7,23,0,0,8.9,1.2,0.2,0,8.9,0
1,8,0,0,0,8.8,1.2,0.2,0,8.8,0
1,8,1,0,0,8.7,1.2,0.2,0,8.7,0
1,8,2,0,0,8.5,1.2,0.2,0,8.5,0
1,8,3,0,0,8.2,1.2,0.2,0,8.2,0
1,8,4,0,0,8.1,1.2,0.2,0,8.1,0
1,8,5,0,0,7.9,1.2,0.2,0,7.9,0
1,8,6,0,0,8.7,1.1,0.2,0,0,0
1,8,7,87,58,11.1,1.4,0.2,94.612,14.096,104.49631
1,8,8,253,160,14,1.8,0.2,314.111,23.282,388.654187
1,8,9,362,235,16.2,2,0.2,512.385,30.71,622.168259
1,8,10,367,256,17.6,2.3,0.2,580.934,33.08,695.631394
1,8,11,536,248,18.4,2.3,0.2,745.97,38.274,876.678434
1,8,12,564,241,18.7,2.1,0.2,759.017,39.728,887.551746
1,8,13,533,222,18.7,1.8,0.2,674.551,38.592,794.927761
1,8,14,453,190,18.4,1.4,0.2,518.287,35.123,620.995678
1,8,15,310,135,16.9,0.9,0.2,305.128,28.021,368.971055
1,8,16,93,45,14.8,0.8,0.2,79.346,17.671,80.026449
1,8,17,0,0,13.1,1,0.2,0,0,0
1,8,18,0,0,12,1.1,0.2,0,12,0
1,8,19,0,0,11.2,1.1,0.2,0,11.2,0
1,8,20,0,0,10.5,1.1,0.2,0,10.5,0
1,8,21,0,0,9.9,1.2,0.2,0,9.9,0
1,8,22,0,0,9.4,1.2,0.2,0,9.4,0
1,8,23,0,0,8.9,1.2,0.2,0,8.9,0
1,9,0,0,0,8.6,1.2,0.2,0,8.6,0
1,9,1,0,0,8.3,1.2,0.2,0,8.3,0
1,9,2,0,0,8.2,1.2,0.2,0,8.2,0
1,9,3,0,0,8,1.1,0.2,0,8,0
1,9,4,0,0,7.9,1.1,0.2,0,7.9,0
1,9,5,0,0,7.3,1.1,0.2,0,7.3,0
1,9,6,0,0,8.1,1,0.2,0,0,0
1,9,7,221,58,10.8,1.2,0.2,139.206,15.395,154.8779
1,9,8,417,118,14,1.3,0.2,354.531,25.726,438.517682
1,9,9,557,158,16.4,1.4,0.2,564.474,34.618,679.609993
1,9,10,675,176,17.8,1.8,0.2,747.327,39.848,878.320095
1,9,11,661,200,18.7,2.1,0.2,801.932,40.926,934.703569
1,9,12,666,197,19.1,2.4,0.2,799.807,40.024,935.976695
1,9,13,639,182,19.1,2.6,0.2,713.619,37.116,848.071839
1,9,14,568,155,18.4,2.6,0.2,556.12,32.467,676.048565
1,9,15,421,115,16.1,2,0.2,341.253,25.775,419.19168
1,9,16,159,45,12.8,1.4,0.2,100.896,15.938,104.283061
1,9,17,0,0,10.9,1.4,0.2,0,0,0
1,9,18,0,0,10.1,1.4,0.2,0,10.1,0
1,9,19,0,0,9.4,1.4,0.2,0,9.4,0
1,9,20,0,0,8.8,1.4,0.2,0,8.8,0
1,9,21,0,0,8.3,1.3,0.2,0,8.3,0
1,9,22,0,0,7.8,1.3,0.2,0,7.8,0
